gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
534309,51,1539185096,5804646.84277,550846.993144,9.747175000002802,52.38970899998434,54,413
534310,51,1539185097,5804637.58555,550844.638667,9.74713899999899,52.38962599997603,63,411
534311,51,1539185098,5804636.21426,550841.113778,9.747086999994169,52.38961399997115,65,407
534312,51,1539185099,5804630.28615,550837.97625,9.747039999996876,52.38956100000116,71,404
534313,51,1539185100,5804625.24278,550845.10647,9.74714399999866,52.38951500001137,76,411
534314,51,1539185101,5804620.62183,550850.054453,9.747215999996309,52.38947300000108,80,416
534315,51,1539185102,5804622.32822,550853.712006,9.747269999994286,52.38948800004131,79,420
534316,51,1539185103,5804620.24723,550856.864221,9.747316000001636,52.38946899998116,81,423
534317,51,1539185104,5804619.50239,550860.138749,9.74736400000448,52.389461999989685,82,426
534318,51,1539185105,5804617.7565,550863.423623,9.74741200000322,52.389445999982506,83,429
534319,51,1539185106,5804617.02011,550867.514774,9.747471999995664,52.38943900004293,84,433
534320,51,1539185107,5804617.377,550869.757033,9.747504999994176,52.38944200000834,84,436
534321,51,1539185108,5804616.63568,550873.371824,9.74755799999923,52.38943499996652,85,439
534322,51,1539185109,5804615.00103,550876.655555,9.747605999999138,52.3894199999897,86,442
534323,51,1539185110,5804613.68599,550878.574803,9.747634000003435,52.3894079999605,88,444
534324,51,1539185111,5804612.04079,550880.83776,9.747666999998009,52.3893929999778,89,447
534325,51,1539185112,5804610.39981,550883.50903,9.7477059999981,52.38937799997428,91,449
534326,51,1539185113,5804609.09533,550886.449059,9.747748999993773,52.38936599997739,92,452
